FarRight_2-2016,Immigration,immigration lobby,1.0
FarRight_2-2016,Immigration,"democrats, immigration, palestine, maine",-1.0
FarRight_2-2016,Immigration,aslyum seekers give,0.2857142857142857
FarRight_2-2016,Immigration,h1v visas bad,0.0
FarRight_2-2016,Islamophobia,muslim culture hating pigs,0.0
FarRight_2-2016,Anti-semitism,violence against jews,-0.037037037037037035
FarRight_2-2016,Anti-semitism,jewish people against ban,-0.5
FarRight_2-2017,Immigration,stop refugee entering,0.2
FarRight_2-2017,Islamophobia,violence against muslim women,1.0
FarRight_2-2017,Anti-semitism,congress plan,-1.0
FarRight_2-2018,Immigration,unable to derive meaning,-1.0
FarRight_2-2018,Immigration,stood outside immigration office,0.0
